"Category","Id","ConfigSource","FilePath","SizePx","Anchor","Status","Owner","License","Notes"
"Terrain","plain","Config/Terrains.json","res://Texture/Terrain/plain.png","366x423","Center","missing","待定","待定","平原（平顶六边形：左右尖角贴边、上下边水平、四角透明）"
"Terrain","desert","Config/Terrains.json","res://Texture/Terrain/desert.png","366x423","Center","missing","待定","待定","沙漠（平顶六边形：左右尖角贴边、上下边水平、四角透明）"
"Terrain","forest","Config/Terrains.json","res://Texture/Terrain/forest.png","366x423","Center","missing","待定","待定","森林（平顶六边形：左右尖角贴边、上下边水平、四角透明）"
"Terrain","mountain","Config/Terrains.json","res://Texture/Terrain/mountain.png","366x423","Center","missing","待定","待定","山地（平顶六边形：左右尖角贴边、上下边水平、四角透明）"
"Terrain","water","Config/Terrains.json","res://Texture/Terrain/water.png","366x423","Center","missing","待定","待定","水域（平顶六边形：左右尖角贴边、上下边水平、四角透明）"
"Building","sundial","Config/Buildings.json","res://Texture/Building/sundial.png","256x256","BottomCenter","missing","待定","待定","日晷（末级；脚底贴下边、水平居中）"
"Building","observatory","Config/Buildings.json","res://Texture/Building/observatory.png","256x256","BottomCenter","missing","待定","待定","观星台（末级；脚底贴下边、水平居中）"
"Building","bone_flute_workshop","Config/Buildings.json","res://Texture/Building/bone_flute_workshop.png","256x256","BottomCenter","missing","待定","待定","骨笛工坊（末级；脚底贴下边、水平居中）"
"Building","camp","Config/Buildings.json","res://Texture/Building/camp.png","256x256","BottomCenter","missing","待定","待定","营地（可升级→camp_ii；脚底贴下边、水平居中）"
"Building","camp_ii","Config/Buildings.json","res://Texture/Building/camp_ii.png","256x256","BottomCenter","missing","待定","待定","营地 lv.II（可升级→camp_iii；脚底贴下边、水平居中）"
"Building","camp_iii","Config/Buildings.json","res://Texture/Building/camp_iii.png","256x256","BottomCenter","missing","待定","待定","营地 lv.III（末级；脚底贴下边、水平居中）"
"Building","workshop","Config/Buildings.json","res://Texture/Building/workshop.png","256x256","BottomCenter","missing","待定","待定","工坊（可升级→workshop_ii；脚底贴下边、水平居中）"
"Building","workshop_ii","Config/Buildings.json","res://Texture/Building/workshop_ii.png","256x256","BottomCenter","missing","待定","待定","工坊 lv.II（可升级→workshop_iii；脚底贴下边、水平居中）"
"Building","workshop_iii","Config/Buildings.json","res://Texture/Building/workshop_iii.png","256x256","BottomCenter","missing","待定","待定","工坊 lv.III（末级；脚底贴下边、水平居中）"
"Building","school","Config/Buildings.json","res://Texture/Building/school.png","256x256","BottomCenter","missing","待定","待定","学院（可升级→school_ii；脚底贴下边、水平居中）"
"Building","school_ii","Config/Buildings.json","res://Texture/Building/school_ii.png","256x256","BottomCenter","missing","待定","待定","学院 lv.II（可升级→school_iii；脚底贴下边、水平居中）"
"Building","school_iii","Config/Buildings.json","res://Texture/Building/school_iii.png","256x256","BottomCenter","missing","待定","待定","学院 lv.III（末级；脚底贴下边、水平居中）"
"Building","military_camp","Config/Buildings.json","res://Texture/Building/military_camp.png","256x256","BottomCenter","missing","待定","待定","军营（可升级→military_camp_ii；脚底贴下边、水平居中）"
"Building","military_camp_ii","Config/Buildings.json","res://Texture/Building/military_camp_ii.png","256x256","BottomCenter","missing","待定","待定","军营 lv.II（可升级→military_camp_iii；脚底贴下边、水平居中）"
"Building","military_camp_iii","Config/Buildings.json","res://Texture/Building/military_camp_iii.png","256x256","BottomCenter","missing","待定","待定","军营 lv.III（末级；脚底贴下边、水平居中）"
"Building","farm","Config/Buildings.json","res://Texture/Building/farm.png","256x256","BottomCenter","missing","待定","待定","农田 lv.I（可升级→farm_ii；脚底贴下边、水平居中）"
"Building","farm_ii","Config/Buildings.json","res://Texture/Building/farm_ii.png","256x256","BottomCenter","missing","待定","待定","农田 lv.II（可升级→farm_iii；脚底贴下边、水平居中）"
